Average_Price,Destination,Source,Weekend_Date
356.0,DTW,BOS,2017-17
111.0,DTW,BOS,2017-18
91.0,DTW,BOS,2017-19
91.0,DTW,BOS,2017-20
131.0,DTW,BOS,2017-21
131.0,DTW,BOS,2017-22
151.0,DTW,BOS,2017-23
198.0,DTW,BOS,2017-24
201.0,DTW,BOS,2017-25
201.0,DTW,BOS,2017-26
202.0,DTW,BOS,2017-27
201.0,DTW,BOS,2017-28
202.0,DTW,BOS,2017-29
194.0,DTW,BOS,2017-30
140.0,DTW,BOS,2017-31
201.0,DTW,BOS,2017-32
0.0,DTW,BOS,2017-33
130.0,DTW,BOS,2017-34
623.0,TPA,BOS,2017-16
429.5,TPA,BOS,2017-17
400.5,TPA,BOS,2017-18
260.5,TPA,BOS,2017-19
259.0,TPA,BOS,2017-20
325.0,TPA,BOS,2017-21
234.5,TPA,BOS,2017-22
245.0,TPA,BOS,2017-23
235.5,TPA,BOS,2017-24
316.5,TPA,BOS,2017-25
0.0,TPA,BOS,2017-26
360.0,TPA,BOS,2017-27
249.0,TPA,BOS,2017-28
269.0,TPA,BOS,2017-29
0.0,TPA,BOS,2017-30
275.0,TPA,BOS,2017-31
0.0,TPA,BOS,2017-32
0.0,TPA,BOS,2017-33
0.0,TPA,BOS,2017-34
424.0,BWI,BOS,2017-16
181.0,BWI,BOS,2017-17
117.0,BWI,BOS,2017-18
115.0,BWI,BOS,2017-19
138.0,BWI,BOS,2017-20
185.0,BWI,BOS,2017-21
117.0,BWI,BOS,2017-22
132.0,BWI,BOS,2017-23
163.0,BWI,BOS,2017-24
179.0,BWI,BOS,2017-25
164.0,BWI,BOS,2017-26
163.0,BWI,BOS,2017-27
164.0,BWI,BOS,2017-28
163.0,BWI,BOS,2017-29
164.0,BWI,BOS,2017-30
163.0,BWI,BOS,2017-31
192.0,BWI,BOS,2017-32
193.0,BWI,BOS,2017-33
940.0,BWI,BOS,2017-34
553.0,HOU,BOS,2017-16
498.5,HOU,BOS,2017-17
253.0,HOU,BOS,2017-18
217.0,HOU,BOS,2017-19
204.0,HOU,BOS,2017-20
279.0,HOU,BOS,2017-21
326.0,HOU,BOS,2017-22
284.0,HOU,BOS,2017-23
416.0,HOU,BOS,2017-24
386.0,HOU,BOS,2017-25
400.0,HOU,BOS,2017-26
349.0,HOU,BOS,2017-27
335.0,HOU,BOS,2017-28
0.0,HOU,BOS,2017-29
340.0,HOU,BOS,2017-30
0.0,HOU,BOS,2017-31
401.5,HOU,BOS,2017-32
0.0,HOU,BOS,2017-33
0.0,HOU,BOS,2017-34
704.5,JAX,BOS,2017-16
558.5,JAX,BOS,2017-17
650.0,JAX,BOS,2017-18
508.5,JAX,BOS,2017-19
326.0,JAX,BOS,2017-20
489.5,JAX,BOS,2017-21
280.0,JAX,BOS,2017-22
357.5,JAX,BOS,2017-23
0.0,JAX,BOS,2017-24
347.0,JAX,BOS,2017-25
0.0,JAX,BOS,2017-26
0.0,JAX,BOS,2017-27
0.0,JAX,BOS,2017-28
